2019-01-17 15:03:12,169:    |cuda
2019-01-17 15:03:13,820:    |==> Building model..
2019-01-17 15:03:16,586:    |restart
2019-01-17 15:04:00,985:    |Epoch: 0, train acc: 0.43, test acc: 0.45
2019-01-17 15:04:00,985:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:04:41,275:    |Epoch: 1, train acc: 0.62, test acc: 0.65
2019-01-17 15:04:41,275:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:05:21,306:    |Epoch: 2, train acc: 0.71, test acc: 0.72
2019-01-17 15:05:21,306:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:06:00,687:    |Epoch: 3, train acc: 0.76, test acc: 0.78
2019-01-17 15:06:00,687:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:06:40,457:    |Epoch: 4, train acc: 0.80, test acc: 0.79
2019-01-17 15:06:40,457:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:07:20,297:    |Epoch: 5, train acc: 0.83, test acc: 0.81
2019-01-17 15:07:20,297:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:08:04,092:    |Epoch: 6, train acc: 0.84, test acc: 0.80
2019-01-17 15:08:04,092:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:08:49,091:    |Epoch: 7, train acc: 0.86, test acc: 0.82
2019-01-17 15:08:49,092:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:09:30,668:    |Epoch: 8, train acc: 0.87, test acc: 0.84
2019-01-17 15:09:30,669:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:10:11,889:    |Epoch: 9, train acc: 0.88, test acc: 0.85
2019-01-17 15:10:11,890:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:10:52,820:    |Epoch: 10, train acc: 0.89, test acc: 0.85
2019-01-17 15:10:52,820:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:11:33,272:    |Epoch: 11, train acc: 0.90, test acc: 0.84
2019-01-17 15:11:33,273:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:12:13,654:    |Epoch: 12, train acc: 0.90, test acc: 0.86
2019-01-17 15:12:13,654:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:12:53,963:    |Epoch: 13, train acc: 0.91, test acc: 0.87
2019-01-17 15:12:53,964:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:13:34,412:    |Epoch: 14, train acc: 0.92, test acc: 0.88
2019-01-17 15:13:34,413:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:14:14,856:    |Epoch: 15, train acc: 0.92, test acc: 0.88
2019-01-17 15:14:14,856:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:14:55,334:    |Epoch: 16, train acc: 0.93, test acc: 0.88
2019-01-17 15:14:55,335:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:15:35,775:    |Epoch: 17, train acc: 0.93, test acc: 0.89
2019-01-17 15:15:35,776:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:16:16,240:    |Epoch: 18, train acc: 0.94, test acc: 0.89
2019-01-17 15:16:16,241:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:16:56,839:    |Epoch: 19, train acc: 0.94, test acc: 0.89
2019-01-17 15:16:56,839:    |Saving...
2019-01-17 15:16:56,921:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:17:37,475:    |Epoch: 20, train acc: 0.94, test acc: 0.89
2019-01-17 15:17:37,476:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:18:17,964:    |Epoch: 21, train acc: 0.95, test acc: 0.89
2019-01-17 15:18:17,965:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:18:58,361:    |Epoch: 22, train acc: 0.95, test acc: 0.90
2019-01-17 15:18:58,362:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:19:39,052:    |Epoch: 23, train acc: 0.96, test acc: 0.89
2019-01-17 15:19:39,053:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:20:19,393:    |Epoch: 24, train acc: 0.96, test acc: 0.89
2019-01-17 15:20:19,394:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:20:59,837:    |Epoch: 25, train acc: 0.96, test acc: 0.89
2019-01-17 15:20:59,838:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:21:40,239:    |Epoch: 26, train acc: 0.96, test acc: 0.90
2019-01-17 15:21:40,240:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:22:20,690:    |Epoch: 27, train acc: 0.96, test acc: 0.89
2019-01-17 15:22:20,691:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:23:01,209:    |Epoch: 28, train acc: 0.97, test acc: 0.90
2019-01-17 15:23:01,209:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:23:41,688:    |Epoch: 29, train acc: 0.97, test acc: 0.90
2019-01-17 15:23:41,688:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:24:22,036:    |Epoch: 30, train acc: 0.97, test acc: 0.91
2019-01-17 15:24:22,037:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:25:02,351:    |Epoch: 31, train acc: 0.97, test acc: 0.90
2019-01-17 15:25:02,352:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:25:42,905:    |Epoch: 32, train acc: 0.97, test acc: 0.91
2019-01-17 15:25:42,906:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:26:23,383:    |Epoch: 33, train acc: 0.97, test acc: 0.90
2019-01-17 15:26:23,384:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:27:03,808:    |Epoch: 34, train acc: 0.98, test acc: 0.90
2019-01-17 15:27:03,809:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:27:45,702:    |Epoch: 35, train acc: 0.98, test acc: 0.90
2019-01-17 15:27:45,702:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:28:26,505:    |Epoch: 36, train acc: 0.98, test acc: 0.90
2019-01-17 15:28:26,506:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:29:07,071:    |Epoch: 37, train acc: 0.98, test acc: 0.91
2019-01-17 15:29:07,072:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:29:47,216:    |Epoch: 38, train acc: 0.98, test acc: 0.91
2019-01-17 15:29:47,216:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:30:27,426:    |Epoch: 39, train acc: 0.98, test acc: 0.91
2019-01-17 15:30:27,427:    |Saving...
2019-01-17 15:30:27,507:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:31:07,688:    |Epoch: 40, train acc: 0.98, test acc: 0.91
2019-01-17 15:31:07,688:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:31:48,262:    |Epoch: 41, train acc: 0.98, test acc: 0.91
2019-01-17 15:31:48,262:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:32:28,972:    |Epoch: 42, train acc: 0.99, test acc: 0.89
2019-01-17 15:32:28,973:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-17 15:33:09,441:    |Epoch: 43, train acc: 0.98, test acc: 0.91
