2019-01-10 19:01:49,493:    |cuda
2019-01-10 19:01:51,141:    |==> Building model..
2019-01-10 19:01:54,698:    |restart
2019-01-10 19:03:19,121:    |Epoch: 0, train acc: 0.38, test acc: 0.48
2019-01-10 19:03:19,121:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:04:28,053:    |Epoch: 1, train acc: 0.58, test acc: 0.64
2019-01-10 19:04:28,053:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:05:36,799:    |Epoch: 2, train acc: 0.68, test acc: 0.68
2019-01-10 19:05:36,800:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:06:44,745:    |Epoch: 3, train acc: 0.74, test acc: 0.73
2019-01-10 19:06:44,745:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:07:53,229:    |Epoch: 4, train acc: 0.78, test acc: 0.80
2019-01-10 19:07:53,230:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:09:01,153:    |Epoch: 5, train acc: 0.80, test acc: 0.77
2019-01-10 19:09:01,153:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:10:09,269:    |Epoch: 6, train acc: 0.81, test acc: 0.81
2019-01-10 19:10:09,269:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:11:17,628:    |Epoch: 7, train acc: 0.82, test acc: 0.73
2019-01-10 19:11:17,629:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:12:26,438:    |Epoch: 8, train acc: 0.83, test acc: 0.81
2019-01-10 19:12:26,439:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:13:35,143:    |Epoch: 9, train acc: 0.83, test acc: 0.75
2019-01-10 19:13:35,143:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 19:14:43,149:    |Epoch: 10, train acc: 0.84, test acc: 0.78
2019-01-10 19:14:43,149:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
