2019-01-12 01:55:55,756:    |cuda
2019-01-12 01:55:57,810:    |==> Building model..
2019-01-12 01:56:01,868:    |restart
2019-01-12 01:57:16,282:    |Epoch: 0, train acc: 0.37, test acc: 0.49
2019-01-12 01:57:16,282:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 01:58:10,689:    |Epoch: 1, train acc: 0.58, test acc: 0.55
2019-01-12 01:58:10,690:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 01:59:05,404:    |Epoch: 2, train acc: 0.65, test acc: 0.65
2019-01-12 01:59:05,404:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:00:00,032:    |Epoch: 3, train acc: 0.70, test acc: 0.69
2019-01-12 02:00:00,032:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:00:55,074:    |Epoch: 4, train acc: 0.74, test acc: 0.75
2019-01-12 02:00:55,074:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:01:49,737:    |Epoch: 5, train acc: 0.77, test acc: 0.78
2019-01-12 02:01:49,737:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:02:44,285:    |Epoch: 6, train acc: 0.78, test acc: 0.80
2019-01-12 02:02:44,285:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:03:38,635:    |Epoch: 7, train acc: 0.80, test acc: 0.80
2019-01-12 02:03:38,635:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:04:33,468:    |Epoch: 8, train acc: 0.81, test acc: 0.81
2019-01-12 02:04:33,468:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:05:28,294:    |Epoch: 9, train acc: 0.82, test acc: 0.82
2019-01-12 02:05:28,295:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:06:22,941:    |Epoch: 10, train acc: 0.83, test acc: 0.82
2019-01-12 02:06:22,941:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:07:17,618:    |Epoch: 11, train acc: 0.84, test acc: 0.82
2019-01-12 02:07:17,619:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:08:12,082:    |Epoch: 12, train acc: 0.84, test acc: 0.79
2019-01-12 02:08:12,082:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:09:06,451:    |Epoch: 13, train acc: 0.85, test acc: 0.83
2019-01-12 02:09:06,451:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:10:01,284:    |Epoch: 14, train acc: 0.86, test acc: 0.83
2019-01-12 02:10:01,285:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:10:55,631:    |Epoch: 15, train acc: 0.86, test acc: 0.84
2019-01-12 02:10:55,631:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:11:49,987:    |Epoch: 16, train acc: 0.86, test acc: 0.85
2019-01-12 02:11:49,988:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:12:44,534:    |Epoch: 17, train acc: 0.87, test acc: 0.85
2019-01-12 02:12:44,534:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:13:39,179:    |Epoch: 18, train acc: 0.87, test acc: 0.85
2019-01-12 02:13:39,179:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:14:33,652:    |Epoch: 19, train acc: 0.88, test acc: 0.83
2019-01-12 02:14:33,652:    |Saving...
2019-01-12 02:14:33,729:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:15:28,342:    |Epoch: 20, train acc: 0.88, test acc: 0.84
2019-01-12 02:15:28,343:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:16:23,242:    |Epoch: 21, train acc: 0.88, test acc: 0.86
2019-01-12 02:16:23,243:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:17:17,821:    |Epoch: 22, train acc: 0.88, test acc: 0.87
2019-01-12 02:17:17,821:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:18:12,126:    |Epoch: 23, train acc: 0.88, test acc: 0.85
2019-01-12 02:18:12,126:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:19:06,755:    |Epoch: 24, train acc: 0.88, test acc: 0.85
2019-01-12 02:19:06,756:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:20:01,459:    |Epoch: 25, train acc: 0.89, test acc: 0.87
2019-01-12 02:20:01,459:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:20:56,156:    |Epoch: 26, train acc: 0.89, test acc: 0.87
2019-01-12 02:20:56,156:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:21:50,464:    |Epoch: 27, train acc: 0.89, test acc: 0.83
2019-01-12 02:21:50,465:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:22:45,070:    |Epoch: 28, train acc: 0.89, test acc: 0.87
2019-01-12 02:22:45,071:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:23:39,861:    |Epoch: 29, train acc: 0.90, test acc: 0.85
2019-01-12 02:23:39,862:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:24:34,103:    |Epoch: 30, train acc: 0.90, test acc: 0.86
2019-01-12 02:24:34,103:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:25:28,406:    |Epoch: 31, train acc: 0.90, test acc: 0.88
2019-01-12 02:25:28,406:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:26:23,720:    |Epoch: 32, train acc: 0.90, test acc: 0.87
2019-01-12 02:26:23,720:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:27:18,641:    |Epoch: 33, train acc: 0.90, test acc: 0.87
2019-01-12 02:27:18,641:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:28:12,983:    |Epoch: 34, train acc: 0.90, test acc: 0.86
2019-01-12 02:28:12,984:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:29:07,540:    |Epoch: 35, train acc: 0.90, test acc: 0.87
2019-01-12 02:29:07,540:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:30:02,177:    |Epoch: 36, train acc: 0.90, test acc: 0.87
2019-01-12 02:30:02,177:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:30:56,806:    |Epoch: 37, train acc: 0.90, test acc: 0.87
2019-01-12 02:30:56,806:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:31:51,423:    |Epoch: 38, train acc: 0.90, test acc: 0.86
2019-01-12 02:31:51,423:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:32:45,989:    |Epoch: 39, train acc: 0.90, test acc: 0.88
2019-01-12 02:32:45,990:    |Saving...
2019-01-12 02:32:46,093:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:33:40,550:    |Epoch: 40, train acc: 0.90, test acc: 0.87
2019-01-12 02:33:40,550:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:34:35,133:    |Epoch: 41, train acc: 0.91, test acc: 0.87
2019-01-12 02:34:35,134:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:35:30,203:    |Epoch: 42, train acc: 0.90, test acc: 0.86
2019-01-12 02:35:30,203:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:36:24,827:    |Epoch: 43, train acc: 0.91, test acc: 0.87
2019-01-12 02:36:24,827:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-12 02:37:19,263:    |Epoch: 44, train acc: 0.91, test acc: 0.87
